layers,kernel,solver,epochs,lr,batch,f1,abs_acc,auc,null
"[100, 100, 100]",12,adam,20,0.01,100,0.42016806722689076,0.6269409937888198,0.6269409937888198,0.5490196078431373
"[100, 100, 100]",12,adam,100,0.01,100,0.711111111111111,0.7406832298136645,0.7406832298136646,0.5490196078431373
"[100, 100, 100]",12,adam,200,0.01,100,0.6289308176100628,0.6958462732919255,0.6958462732919255,0.5490196078431373
"[240, 160, 80]",12,adam,100,0.01,100,0.6883116883116883,0.7478649068322981,0.7478649068322982,0.5490196078431373
"[240, 160, 80]",12,adam,200,0.01,100,0.5906040268456375,0.6810947204968945,0.6810947204968942,0.5490196078431373
"[240, 160, 80]",14,adam,100,0.01,100,0.6187050359712231,0.7158385093167702,0.7158385093167703,0.5490196078431373
"[240, 160, 80]",10,adam,100,0.01,100,0.562962962962963,0.6842003105590062,0.6842003105590063,0.5490196078431373
"[360, 240, 120]",12,adam,80,0.01,100,0.6748466257668712,0.7274844720496894,0.7274844720496895,0.5490196078431373
"[360, 240, 120]",12,adam,200,0.01,200,0.7058823529411764,0.7457298136645962,0.7457298136645963,0.5490196078431373
"[360, 240, 120]",12,adam,400,0.015,200,0.7039106145251397,0.735248447204969,0.7352484472049691,0.5490196078431373
