layers,solver,epochs,lr,batch,f1,abs_acc,auc,null
"[100, 100, 100]",adam,100,0.01,200,0.5303030303030303,0.6678959627329193,0.6678959627329193,0.5490196078431373
"[100, 100, 100]",adam,200,0.01,200,0.6216216216216216,0.7053571428571428,0.7053571428571429,0.5490196078431373
"[100, 100, 100]",adam,300,0.01,200,0.6493506493506493,0.7181677018633541,0.718167701863354,0.5490196078431373
"[200, 100, 100]",adam,300,0.01,200,0.5866666666666667,0.6766304347826086,0.6766304347826086,0.5490196078431373
"[200, 100, 100]",adam,300,0.001,200,0.5454545454545454,0.6777950310559007,0.6777950310559007,0.5490196078431373
"[100, 100, 100]",adam,300,0.01,200,0.6585365853658537,0.7407537865445579,0.7407537865445578,0.620817843866171
"[200, 200, 200]",adam,300,0.01,200,0.6909090909090908,0.761447692849595,0.761447692849595,0.620817843866171
"[400, 200, 200]",adam,300,0.01,200,0.6946107784431137,0.7633556416578607,0.7633556416578607,0.620817843866171
"[500, 300, 200]",adam,100,0.01,200,0.6585365853658537,0.7407537865445579,0.7407537865445578,0.620817843866171
"[500, 300, 200]",adam,300,0.01,200,0.6863905325443787,0.7573676177057649,0.7573676177057649,0.620817843866171
"[500, 300, 200]",adam,300,0.01,100,0.7303370786516854,0.7856933192438652,0.7856933192438653,0.620817843866171
"[500, 300, 200]",adam,300,0.005,100,0.687116564417178,0.7595397440413292,0.7595397440413292,0.620817843866171
"[500, 300, 200, 100]",adam,300,0.01,100,0.674698795180723,0.7505577081131853,0.7505577081131853,0.620817843866171
"[500, 300, 200, 100]",sgd,500,0.005,100,0.549865229110512,0.5,0.5,0.620817843866171
"[500, 300, 200]",sgd,50,0.01,100,0.0,0.5,0.5,0.620817843866171
"[500, 300, 200]",sgd,50,0.001,100,0.0,0.5,0.5,0.620817843866171
"[500, 300, 200]",sgd,50,0.0005,100,0.549865229110512,0.5,0.5,0.620817843866171
"[500, 300, 200]",adam,50,0.002,100,0.5217391304347826,0.6764705882352942,0.6764705882352942,0.620817843866171
"[500, 300, 200, 100]",adam,400,0.0005,200,0.7261904761904762,0.7840495479628977,0.7840495479628977,0.620817843866171
